DAFTAR SATUAN PENDIDIKAN JENJANG SMA,,,,,,,,,,,,,,,,
TAHUN AJARAN 2024/2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAMA SEKOLAH,NPSN,BENTUK,NAMA DUSUN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,PROVINSI,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI,SUMBER LISTRIK,AKSES INTERNET,SUMBER AIR,KECUKUPAN AIR
SMA KP 3 PASEH,20240400,SMA,Malang,Loa,Kec. Paseh,Kab. Bandung,Prov. Jawa Barat,40383,-7.079900000000,107.793200000000,SWASTA,B,Ada,Ada,Mata air terlindungi,Kurang
SMA KP BALEENDAH,20228442,SMA,,Baleendah,Kec. Baleendah,Kab. Bandung,Prov. Jawa Barat,40375,-7.002000000000,107.622700000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA KP BAROS ARJASARI,20227846,SMA,-,Baros,Kec. Arjasari,Kab. Bandung,Prov. Jawa Barat,40379,-7.054300000000,107.616100000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA KP CICALENGKA,20227814,SMA,SAWAH LEGA,Nagrog,Kec. Cicalengka,Kab. Bandung,Prov. Jawa Barat,40395,-6.998200000000,107.861900000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA KP CIWIDEY PASIRJAMBU,20227849,SMA,Mekarasa,Pasirjambu,Kec. Pasirjambu,Kab. Bandung,Prov. Jawa Barat,40972,-7.095000000000,107.474500000000,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup
SMA KP MARGAHAYU,20227851,SMA,-,Margahayu Selatan,Kec. Margahayu,Kab. Bandung,Prov. Jawa Barat,40226,-6.976300000000,107.566800000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Tidak ada
SMA LABORATORIUM PERCONTOHAN UPI CIBIRU,70045667,SMA,Cibiru Wetan,Cibiru Wetan,Kec. Cileunyi,Kab. Bandung,Prov. Jawa Barat,40625,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Sumur terlindungi,Cukup
SMA MAHAWARMAN,20227855,SMA,-,Cikancung,Kec. Cikancung,Kab. Bandung,Prov. Jawa Barat,40390,-7.012000000000,107.825700000000,SWASTA,B,Ada,Ada,Pompa,Cukup
SMA MAJALAYA PUTRA,20227856,SMA,Majakerta,Majakerta,Kec. Majalaya,Kab. Bandung,Prov. Jawa Barat,40382,-7.050000000000,107.764500000000,SWASTA,B,Ada,Ada,Pompa,Cukup
SMA MANGGALA,20256638,SMA,MARUYUNG,Maruyung,Kec. Pacet,Kab. Bandung,Prov. Jawa Barat,40385,-7.103900000000,107.703000000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA MARDIKA PASEH,20227857,SMA,Mekarpawitan,Mekarpawitan,Kec. Paseh,Kab. Bandung,Prov. Jawa Barat,40383,-7.049400000000,107.779300000000,SWASTA,B,Ada,Ada,Pompa,Cukup
SMA MATHLAUL ANWAR MARGAHAYU,20251781,SMA,Margahayu Selatan,Margahayu Selatan,Kec. Margahayu,Kab. Bandung,Prov. Jawa Barat,40226,-6.976083300000,107.567895000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Tidak ada
SMA MEKAR ARUM CILEUNYI,20227858,SMA,Desa Cinunuk,Cinunuk,Kec. Cileunyi,Kab. Bandung,Prov. Jawa Barat,40624,-6.936528000000,107.731219000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA MUHAMMADIYAH 2 MAJALAYA,20227860,SMA,Majasetra,Majasetra,Kec. Majalaya,Kab. Bandung,Prov. Jawa Barat,40382,-7.039200000000,107.754800000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA MUHAMMADIYAH 3 CIPARAY,20227861,SMA,Serang Mekar,Serangmekar,Kec. Ciparay,Kab. Bandung,Prov. Jawa Barat,40381,-7.033400000000,107.705200000000,SWASTA,B,Ada,Tidak ada,Ledeng/PAM,Cukup
SMA MUHAMMADIYAH 4 MARGAHAYU,20227862,SMA,-,Sayati,Kec. Margahayu,Kab. Bandung,Prov. Jawa Barat,40228,-6.972688300000,107.573255000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA MUHAMMADIYAH 5 RANCAEKEK,20227863,SMA,Babakan Harja,Rancaekek Wetan,Kec. Rancaekek,Kab. Bandung,Prov. Jawa Barat,40394,-6.959200000000,107.761500000000,SWASTA,A,Ada,Ada,Pompa,Cukup
SMA MUHAMMADIYAH 6 KERTASARI,20227864,SMA,Lebaksari,Cibeureum,Kec. Kertasari,Kab. Bandung,Prov. Jawa Barat,40386,-7.194500000000,107.674900000000,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup
SMA MUTIARA SANDI,20228467,SMA,Pasar Kemis,Manggahang,Kec. Baleendah,Kab. Bandung,Prov. Jawa Barat,40375,-7.018487000000,107.654023000000,SWASTA,B,Ada,Ada,Pompa,Cukup
SMA NAHDLOTUL ULAMA,70042775,SMA,Majasetra,Majasetra,Kec. Majalaya,Kab. Bandung,Prov. Jawa Barat,40382,0.000000000000,0.000000000000,SWASTA,Belum Akreditasi,Ada,Ada,Pompa,Cukup
SMA NURUZAMAN CILENGKRANG,20228469,SMA,Kp. Pasir Angin,Cilengkrang,Kec. Cilengkrang,Kab. Bandung,Prov. Jawa Barat,40615,-6.893100000000,107.723500000000,SWASTA,A,Ada,Ada,Pompa,Kurang
SMA PASUNDAN BANJARAN,20251783,SMA,Banjaran,Banjaran,Kec. Banjaran,Kab. Bandung,Prov. Jawa Barat,40377,7.024500000000,107.531500000000,SWASTA,A,Ada,Ada,Sumur terlindungi,Tidak ada
SMA PASUNDAN MAJALAYA,20256636,SMA,Majalaya,Sukamaju,Kec. Majalaya,Kab. Bandung,Prov. Jawa Barat,40382,-7.048000000000,107.752800000000,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup
SMA PASUNDAN RANCAEKEK,20227918,SMA,Kencana,Rancaekek Kencana,Kec. Rancaekek,Kab. Bandung,Prov. Jawa Barat,40394,-6.974400000000,107.756800000000,SWASTA,A,Ada,Ada,Sumur tidak terlindungi,Cukup
